# Identified hadron spectra at large transverse momentum
# in p+p and d+Au collisions at sqrt(s[NN])=200 GeV
# 
# J. Adams et al., Phys. Lett. B 637 (2006) 161.

### Figure 2: Invariant yield as function of transverse momentum for |y|<0.5.
### Errors are statistical plus point-to-point systematic.

# BEGIN HISTOGRAM pT_piplus
AidaPath=/REF/STAR_2006_S6500200/d01-x01-y01
Title=Transverse momentum spectrum for $\pi^+$
# |1.05e+00    |1.017+/-0.060(stat)+/-0.116(syst)|
# |1.15e+00    |1.013+/-0.072(stat)+/-0.115(syst)|
# |1.30e+00    |1.063+/-0.070(stat)+/-0.121(syst)|
# |1.50e+00    |0.960+/-0.092(stat)+/-0.108(syst)|
# |1.70e+00    |0.918+/-0.140(stat)+/-0.106(syst)|
# |1.90e+00    |1.322+/-0.306(stat)+/-0.223(syst)|
# |2.25e+00    |0.959+/-0.205(stat)+/-0.339(syst)|
# |2.75e+00    |0.976+/-0.026(stat)+/-0.108(syst)|
# |3.25e+00    |0.976+/-0.026(stat)+/-0.107(syst)|
# |3.75e+00    |0.900+/-0.040(stat)+/-0.099(syst)|
# |4.25e+00    |0.981+/-0.057(stat)+/-0.108(syst)|
# |4.75e+00    |1.071+/-0.105(stat)+/-0.118(syst)|
# |5.50e+00    |0.970+/-0.123(stat)+/-0.107(syst)|
# |6.50e+00    |1.00+/-0.265(stat)+/-0.110(syst) |
# |7.50e+00    |1.00+/-0.420(stat)+/-0.110(syst) |
# |9.00e+00    |1.00+/-0.560(stat)+/-0.110(syst) |
# +----------------------------------------------+
# +----------------------------------------------+
# |                   pbar/p                     |
# |----------------------------------------------|
# |p[T] [GeV/c]|             pp NSD              |
# |------------+---------------------------------|
# |4.68e-01    |0.829+/-0.112(stat)+/-0.153(syst)|
# |5.63e-01    |0.853+/-0.100(stat)+/-0.156(syst)|
# |6.61e-01    |0.873+/-0.102(stat)+/-0.162(syst)|
# |7.59e-01    |0.650+/-0.079(stat)+/-0.118(syst)|
# |8.58e-01    |0.921+/-0.122(stat)+/-0.172(syst)|
# |9.57e-01    |0.803+/-0.124(stat)+/-0.149(syst)|
# |1.06e+00    |0.802+/-0.127(stat)+/-0.091(syst)|
# |1.16e+00    |0.806+/-0.121(stat)+/-0.092(syst)|
# |1.31e+00    |0.796+/-0.099(stat)+/-0.088(syst)|
# |1.50e+00    |0.723+/-0.126(stat)+/-0.083(syst)|
# |1.70e+00    |0.900+/-0.126(stat)+/-0.102(syst)|
# |1.90e+00    |0.755+/-0.135(stat)+/-0.086(syst)|
# |2.25e+00    |0.609+/-0.126(stat)+/-0.069(syst)|
# |2.75e+00    |0.826+/-0.024(stat)+/-0.090(syst)|
# |3.25e+00    |0.795+/-0.036(stat)+/-0.087(syst)|
# |3.75e+00    |0.846+/-0.156(stat)+/-0.093(syst)|
# |4.25e+00    |0.808+/-0.101(stat)+/-0.088(syst)|
# |4.75e+00    |0.929+/-0.180(stat)+/-0.102(syst)|
# |5.50e+00    |0.727+/-0.173(stat)+/-0.080(syst)|
# |6.50e+00    |0.804+/-0.413(stat)+/-0.088(syst)|
# +----------------------------------------------+
# +----------------------------------------------+
# |                   p/pi+                      |
# |----------------------------------------------|
# |p[T] [GeV/c]|             pp NSD              |
# |------------+---------------------------------|
# |4.68e-01    |0.085+/-0.009(stat)+/-0.013(syst)|
# |5.63e-01    |0.106+/-0.011(stat)+/-0.016(syst)|
# |6.61e-01    |0.149+/-0.015(stat)+/-0.023(syst)|
# |7.59e-01    |0.188+/-0.020(stat)+/-0.028(syst)|
# |8.58e-01    |0.177+/-0.021(stat)+/-0.027(syst)|
# |9.57e-01    |0.221+/-0.031(stat)+/-0.034(syst)|
# |1.06e+00    |0.290+/-0.043(stat)+/-0.033(syst)|
# |1.16e+00    |0.299+/-0.041(stat)+/-0.034(syst)|
# |1.31e+00    |0.354+/-0.041(stat)+/-0.040(syst)|
# |1.50e+00    |0.355+/-0.058(stat)+/-0.040(syst)|
# |1.70e+00    |0.359+/-0.052(stat)+/-0.041(syst)|
# |1.90e+00    |0.568+/-0.122(stat)+/-0.082(syst)|
# |2.25e+00    |0.504+/-0.099(stat)+/-0.132(syst)|
# |2.75e+00    |0.343+/-0.008(stat)+/-0.048(syst)|
# |3.25e+00    |0.418+/-0.015(stat)+/-0.059(syst)|
# |3.75e+00    |0.362+/-0.023(stat)+/-0.052(syst)|
# |4.25e+00    |0.329+/-0.031(stat)+/-0.048(syst)|
# |4.75e+00    |0.310+/-0.047(stat)+/-0.045(syst)|
# |5.50e+00    |0.316+/-0.056(stat)+/-0.047(syst)|
# |6.50e+00    |0.223+/-0.088(stat)+/-0.034(syst)|
# +----------------------------------------------+
# +----------------------------------------------+
# |                  pbar/pi-                    |
# |----------------------------------------------|
# |p[T] [GeV/c]|             pp NSD              |
# |------------+---------------------------------|
# |4.68e-01    |0.068+/-0.005(stat)+/-0.010(syst)|
# |5.63e-01    |0.091+/-0.006(stat)+/-0.014(syst)|
# |6.61e-01    |0.123+/-0.008(stat)+/-0.019(syst)|
# |7.59e-01    |0.132+/-0.009(stat)+/-0.020(syst)|
# |8.58e-01    |0.165+/-0.012(stat)+/-0.026(syst)|
# |9.57e-01    |0.188+/-0.016(stat)+/-0.029(syst)|
# |1.06e+00    |0.229+/-0.018(stat)+/-0.026(syst)|
# |1.16e+00    |0.238+/-0.022(stat)+/-0.027(syst)|
# |1.31e+00    |0.265+/-0.021(stat)+/-0.030(syst)|
# |1.50e+00    |0.268+/-0.030(stat)+/-0.030(syst)|
# |1.70e+00    |0.352+/-0.054(stat)+/-0.040(syst)|
# |1.90e+00    |0.324+/-0.064(stat)+/-0.046(syst)|
# |2.25e+00    |0.320+/-0.071(stat)+/-0.084(syst)|
# |2.75e+00    |0.289+/-0.007(stat)+/-0.040(syst)|
# |3.25e+00    |0.340+/-0.013(stat)+/-0.048(syst)|
# |3.75e+00    |0.340+/-0.061(stat)+/-(0.049syst)|
# |4.25e+00    |0.271+/-0.027(stat)+/-0.039(syst)|
# |4.75e+00    |0.269+/-0.042(stat)+/-0.039(syst)|
# |5.50e+00    |0.236+/-0.048(stat)+/-(0.035syst)|
# |6.50e+00    |0.179+/-0.075(stat)+/-0.027(syst)|
# |------------+---------------------------------|
# -----------------------------------------------------------------------------------------------------------------------
# 
# If you have question or find any problems with this web page please send mail to James Dunlop.
# This page was last updated on 
